no,picture file,name (CN),name (EN),Origin,起始點,Insertion,結束點,Action,動作,Nerve,神經支配
29,triceps_brachii.jpg,肱三頭肌,Triceps Brachii,"Long head - Infraglenoid tubercle
Lateral head - Posterior humerus above spiral groove
Medial head - Posterior humerus below spiral groove","長頭 - 肩胛下結節
外側頭 - 肱骨後面螺旋溝上方
內側頭 - 肱骨後面螺旋溝下方",Olecranon process,鷹嘴突,"Extension of elbow
Extension of shoulder (long head only)","肘關節伸展
肩關節伸展（僅長頭）",Radial nerve,橈神經
30,deltoid.jpg,三角肌,Deltoid,"Lateral clavicle
Acromion
Spine of scapula","鎖骨外側三分之一
肩峰
肩胛棘",Deltoid tuberosity,三角肌粗隆,"Flexion of shoulder
Horizontal adduction of shoulder
Internal rotation of shoulder
Abduction of shoulder
Extension of shoulder
Horizontal abduction of shoulder
External rotation of shoulder","肩關節屈曲
肩關節水平內收
肩關節內旋
肩關節外展
肩關節伸展
肩關節水平外展
肩關節外旋",Axillary nerve,腋神經
31,supraspinatus.jpg,棘上肌,Supraspinatus,Supraspinous fossa,棘上窩,Superior greater tubercle,肱骨大結節上端,"Abduction of shoulder
Stabilizes glenohumeral joint","肩關節外展
穩定肩關節",Suprascapular nerve,肩胛上神經
32,infraspinatus.jpg,棘下肌,Infraspinatus,Infraspinous fossa,棘下窩,Middle greater tubercle,肱骨大結節中部,"External rotation of shoulder
Stabilizes glenohumeral joint","肩關節外旋
穩定盂肱關節",Suprascapular nerve,肩胛上神經
33,subscapularis.jpg,肩胛下肌,Subscapularis,Subscapular fossa,肩胛下窩,Lesser tubercle,小結節,"Internal rotation of shoulder
Stabilizes glenohumeral joint","肩關節內旋
穩定肱骨關節","Upper subscapular nerve, Lower subscapular nerve",上肩胛下神經、下肩胛下神經
34,teres_minor.jpg,小圓肌,Teres Minor,Superior axillary border of scapula,肩胛骨腋緣上部,Inferior greater tubercle,肱骨大結節下部,"External rotation of shoulder
Stabilizes glenohumeral joint","肩關節外旋
穩定盂肱關節",Axillary nerve,腋神經
35,teres_major.jpg,大圓肌,Teres Major,"Inferior angle of scapula
Inferior axillary border of scapula","肩胛骨下角
肩胛骨腋窩緣下部",Medial bicipital groove,肱骨二頭肌溝內側唇,"Extension of shoulder
Internal rotation of shoulder
Adduction of shoulder","肩關節伸展
肩關節內旋
肩關節內收",Lower subscapular nerve,下肩胛下神經
36,pronator_teres.jpg,旋前圓肌,Pronator Teres,"Medial epicondyle of humerus
Coronoid process of ulna","肱骨內上髁
尺骨冠狀突",Middle of lateral radius,橈骨外側面中部,"Pronation of forearm
Flexion of elbow","前臂旋前
肘關節屈曲",Median nerve,正中神經
37,flexor_carpi_radialis.jpg,橈側屈腕肌,Flexor Carpi Radialis,Medial epicondyle of humerus,肱骨內上髁,"Base of 2nd metacarpal
Base of 3rd metacarpal","第二掌骨底
第三掌骨底","Radial deviation of wrist
Flexion of wrist","腕關節橈側偏移
腕關節屈曲",Median nerve,正中神經
38,palmaris_longus.jpg,掌長肌,Palmaris Longus,Medial epicondyle of humerus,肱骨內上髁,"Palmar aponeurosis
Flexor retinaculum","掌腱膜
屈肌支持帶",Flexion of wrist,腕關節屈曲,Median nerve,正中神經
39,flexor_carpi_ulnaris.jpg,尺側屈腕肌,Flexor Carpi Ulnaris,"Medial epicondyle of humerus
Olecranon process and proximal posterior ulna","肱骨內上髁
鷹嘴突及尺骨近端後側","Pisiform
Hook of hamate
Base of 5th metacarpal","豌豆骨
鉤骨鉤突
第五掌骨底部","Ulnar deviation of wrist
Flexion of wrist","腕關節尺側偏移
腕關節屈曲",Ulnar nerve,尺神經
40,flexor_digitorum_superficialis.jpg,屈指淺肌,Flexor Digitorum Superficialis,"Medial epicondyle of humerus
Coronoid process of ulna
Proximal anterior surface of radius","肱骨內上髁
尺骨冠狀突
橈骨近端前面",Middle phalanges of digits 2-5,第2-5指中節指骨,"Flexion of digits 2-5 at MCP and PIP joints
Flexion of wrist","第2-5指掌指關節和近端指間關節屈曲
腕關節屈曲",Median nerve,正中神經
41,flexor_digitorum_profundus.jpg,指屈深肌,Flexor Digitorum Profundus,Proximal surface of ulna,尺骨近端表面,Base of distal phalanges of digits 2-5,第2-5指遠端指骨基底,"Flexion of wrist
Flexion of digits 2-5 at MCP, PIP & DIP joints","腕關節屈曲
第2-5指掌指關節、近端及遠端指間關節屈曲",Digits 2-3: Anterior interosseous nerve (deep branch of median nerve); Digits 4-5: ulnar nerve,第2-3指：前骨間神經（正中神經深支）；第4-5指：尺神經
42,flexor_pollicis_longus.jpg,屈拇長肌,Flexor Pollicis Longus,"Anterior surface of radius
Interosseous membrane","橈骨前面
骨間膜",Base of distal phalanx of 1st digit,第一指遠端指骨底,Flexion of thumb at IP joint,拇指指間關節屈曲,Anterior interosseous nerve (deep branch of median nerve),前骨間神經（正中神經深支）
43,pronator_quadratus.jpg,旋前方肌,Pronator Quadratus,Distal anteromedial ulna,尺骨遠端前內側面,Distal anterolateral radius,橈骨遠端前外側面,Pronation of forearm,前臂旋前,Anterior interosseous nerve (deep branch of median nerve),前骨間神經（正中神經深支）
44,lumbricals.jpg,蚓狀肌,Lumbricals,Flexor digitorum profundus tendons,屈指深肌腱,Radial side of extensor expansion of digits 2-5,第2-5指伸肌腱膜橈側,"Flexion of digits 2-5 at MCP joints
Extension of digits 2-5 at PIP & DIP joints","第2-5指掌指關節屈曲
第2-5指近端及遠端指間關節伸展","Digits 2-3: median nerve, Digits 4-5: ulnar nerve",第2-3指：正中神經，第4-5指：尺神經
45,palmar_interossei.jpg,掌側骨間肌,Palmar Interossei,"Palmar surfaces of 2nd, 4th, and 5th metacarpals",第二、四、五掌骨掌側面,"Bases of proximal phalanges and extensor expansions of digits 2, 4, and 5
Ulnar/medial side of digit 2
Radial/lateral side of digits 4-5","第二、四、五指近端指骨底及伸肌腱膜
第二指尺側/內側
第四、五指橈側/外側","Adduction of digits 2, 4 and 5 at MCP joints
Flexion of digits 2, 4 and 5 at MCP joints
Extension of digits 2, 4 and 5 at PIP and DIP joints","第二、四、五指掌指關節內收
第二、四、五指掌指關節屈曲
第二、四、五指近端及遠端指間關節伸直",Ulnar nerve,尺神經
46,abductor_pollicis_brevis.jpg,外展拇短肌,Abductor Pollicis Brevis,"Flexor retinaculum
Trapezium
Scaphoid","屈肌支持帶
大多角骨
舟狀骨",Base of proximal phalanx of digit 1,第一指近端指骨基部,Abduction of thumb at CMC joint,拇指腕掌關節外展,Median nerve,正中神經
47,flexor_pollicis_brevis.jpg,屈拇短肌,Flexor Pollicis Brevis,"Superficial head - flexor retinaculum and trapezium
Deep head - trapezium and capitate","淺頭 - 屈肌支持帶和大多角骨
深頭 - 大多角骨和頭狀骨",Base of proximal phalanx of digit 1,拇指近端指骨基部,Flexion of thumb at MCP joint,拇指掌指關節屈曲,Superficial head: median nerve; Deep head: ulnar nerve,淺頭：正中神經；深頭：尺神經
48,opponens_pollicis.jpg,對掌拇肌,Opponens Pollicis,"Flexor retinaculum
Trapezium","屈肌支持帶
大多角骨",Radial shaft of 1st metacarpal,第一掌骨橈側骨幹,Opposition of thumb at CMC joint,拇指於腕掌關節對掌,Median nerve,正中神經
49,adductor_pollicis.jpg,內收拇肌,Adductor Pollicis,"Transverse head: anterior surface of 3rd metacarpal
Oblique head: bases of 2nd and 3rd metacarpals; capitate, trapezoid and trapezium","橫頭：第三掌骨前表面
斜頭：第二、三掌骨基底；頭狀骨、小多角骨、大多角骨",Base of proximal phalanx of digit 1,第一指近節趾骨基底,Adduction of thumb at CMC joint,拇指在腕掌關節內收,Ulnar nerve,尺神經
50,opponens_digiti_minimi.jpg,對掌小指肌,Opponens Digiti Minimi,"Flexor retinaculum
Hook of hamate","屈肌支持帶
鉤骨鉤突",Ulnar border of 5th metacarpal,第五掌骨尺側緣,Opposition of digit 5 at CMC joint,第五指在腕掌關節的對掌動作,Ulnar nerve,尺神經
51,flexor_digiti_minimi.jpg,屈小指肌,Flexor Digiti Minimi,"Flexor retinaculum
Hook of hamate","屈肌支持帶
鉤骨鉤突",Base of proximal phalanx of digit 5,第五指近端指骨底,Flexion of digit 5 at MCP joint,第五指掌指關節屈曲,Ulnar nerve,尺神經
52,abductor_digiti_minimi.jpg,外展小指肌,Abductor Digiti Minimi,Pisiform,豌豆骨,Base of proximal phalanx of digit 5,第五指近節指骨底,Abduction of digit 5 at MCP joint,第五指掌指關節外展,Ulnar nerve,尺神經
53,,,,,,,,,,,
54,extensor_carpi_radialis_longus.jpg,橈側伸腕長肌,Extensor Carpi Radialis Longus,"Lateral supracondylar ridge
Lateral epicondyle of humerus","肱骨外上髁嵴
肱骨外上髁",Base of 2nd metacarpal,第二掌骨基部,"Extension of wrist
Radial deviation of wrist","腕關節伸展
腕關節橈側偏移",Radial nerve,橈神經
55,extensor_carpi_radialis_brevis.jpg,橈側伸腕短肌,Extensor Carpi Radialis Brevis,Lateral epicondyle of humerus,肱骨外上髁,Base of 3rd metacarpal,第三掌骨底,Extension of wrist,腕關節伸展,Deep branch of radial nerve,橈神經深支
56,extensor_carpi_ulnaris.jpg,尺側伸腕肌,Extensor Carpi Ulnaris,"Lateral epicondyle of humerus
Proximal posterior ulna","肱骨外上髁
尺骨近端後側",Base of 5th metacarpal,第五掌骨基底,"Extension of wrist
Ulnar deviation of wrist","腕關節伸展
腕關節尺側偏移",Deep branch of radial nerve,橈神經深支
57,extensor_digitorum.jpg,伸指肌,Extensor Digitorum,Lateral epicondyle of humerus,肱骨外上髁,Extensor expansion of digits 2-5,第2-5指伸肌腱膜,"Extension of wrist
Extension of digits 2-5 at MCP joints","腕關節伸展
第2-5指掌指關節伸展",Deep branch of radial nerve,橈神經深支
58,extensor_digiti_minimi.jpg,伸小指肌,Extensor Digiti Minimi,Lateral epicondyle of humerus,肱骨外上髁,Extensor expansion of digit 5,第五指伸肌腱膜,"Extension of wrist
Extension of digit 5 at MCP joints","腕關節伸展
第五指掌指關節伸展",Deep branch of radial nerve,橈神經深支
59,supinator.jpg,旋後肌,Supinator,"Lateral epicondyle of humerus
Annular & radial collateral ligaments
Supinator crest of ulna","肱骨外上髁
橈骨環狀韌帶與橈骨側副韌帶
尺骨旋後肌嵴",Lateral surface of proximal radius,橈骨近端外側面,Supination of forearm,前臂旋後,Deep branch of radial nerve,橈神經深支
60,extensor_indicis.jpg,伸食指肌,Extensor Indicis,"Posterior ulna
Adjacent interosseous membrane","尺骨後面
鄰近骨間膜",Extensor expansion of digit 2,食指伸肌腱膜,"Extension of wrist
Extension of digit 2 at MCP joint","腕關節伸展
食指掌指關節伸展",Deep branch of radial nerve,橈神經深支
61,extensor_pollicis_longus.jpg,伸拇長肌,Extensor Pollicis Longus,"Middle posterior ulna
Interosseous membrane","尺骨中段後緣
骨間膜",Base of distal phalanx of digit 1,第一指遠端指骨基部,"Radial deviation of wrist
Extension of thumb at IP joint","腕關節橈側偏移
拇指指間關節伸展",Deep branch of radial nerve,橈神經深支
62,extensor_pollicis_brevis.jpg,伸拇短肌,Extensor Pollicis Brevis,"Posterior radius
Interosseous membrane","橈骨後面
骨間膜",Base of proximal phalanx of digit 1,第一指近端指骨底,"Radial deviation of wrist
Extension of thumb at MCP joint","腕關節橈側偏移
拇指掌指關節伸展",Deep branch of radial nerve,橈神經深支
63,abductor_pollicis_longus.jpg,外展拇長肌,Abductor Pollicis Longus,"Posterior surfaces of radius and ulna
Interosseous membrane","橈骨及尺骨後面
骨間膜",Base of 1st metacarpal,第一掌骨基部,"Radial deviation of wrist
Abduction of thumb at CMC joint","腕關節橈側偏移
拇指腕掌關節外展",Deep branch of radial nerve,橈神經深支
64,dorsal_interossei.jpg,背側骨間肌,Dorsal Interossei,Posterior surface of adjacent metacarpals,相鄰掌骨的後表面,"Bases of proximal phalanges and extensor expansions of digits 2-4
Radial/lateral side of digit 2-3
Ulnar/medial side of digit 3-4","第2-4指近端指骨底部及伸肌腱膜
第2-3指橈側/外側
第3-4指尺側/內側","Abduction of digits 2-4 MCP joints
Flexion of digits 2-4 at MCP joints
Extension of digits 2-4 at PIP and DIP joints","第2-4指掌指關節外展
第2-4指掌指關節屈曲
第2-4指近端及遠端指間關節伸展",Ulnar nerve,尺神經
65,diaphragm.jpg,橫膈膜,Diaphragm,"Xiphoid process
Lower costal cartilages
Upper lumbar vertebrae
Medial and lateral arcuate ligaments","劍突
下肋軟骨
上腰椎
內側弓狀韌帶和外側弓狀韌帶",Central tendon of diaphragm,橫膈膜中央腱,Expands thorax during inspiration,吸氣時擴張胸腔,Phrenic nerve,膈神經
66,rectus_abdominis.jpg,腹直肌,Rectus Abdominis,"Pubic symphysis
Pubic crest","恥骨聯合
恥骨嵴","Costal cartilages of ribs 5-7
Xiphoid process","第5-7肋骨肋軟骨
劍突","Flexes vertebral column
Compresses abdomen","脊柱屈曲
腹部壓縮",Intercostal nerves T7-T12,第7-12胸椎肋間神經
67,external_oblique.jpg,腹外斜肌,External Oblique,Lower eight ribs,下八肋骨,"Abdominal aponeurosis to linea alba
Pubis
Anterior iliac crest","腹直肌鞘至白線
恥骨
髂前上棘","Flexes vertebral column and compresses abdomen
Ipsilateral flexion
Contralateral rotation of vertebral column","脊柱屈曲及腹部壓縮
同側側彎
對側旋轉脊柱","Intercostal nerves T7-T12, Iliohypogastric and ilioinguinal nerves",肋間神經T7-T12，髂腹下神經及髂腹股溝神經
68,internal_abdominal_oblique.jpg,腹內斜肌,Internal Abdominal Oblique,"Inguinal ligament
Iliac crest
Thoracolumbar aponeurosis","腹股溝韌帶
髂嵴
胸腰筋膜","Costal cartilages of lower ribs
Abdominal aponeurosis to linea alba","下肋骨肋軟骨
腹白線腱膜","Flexes vertebral column and compresses abdomen
Ipsilateral flexion and rotation of vertebral column","脊柱屈曲並壓迫腹部
脊柱同側屈曲及旋轉","Intercostal nerves T7-T12, Iliohypogastric and ilioinguinal nerves",肋間神經T7-T12、髂腹下神經及髂腹股溝神經
